Localidade,	2011,	2012,	2013,	2014,	2015,	2016
RA 01_BRASILIA,	673,	757,	850,	667,	635,	700
RA 02_GAMA,	694,	902,	972,	967,	884,	836
RA 03_TAGUATINGA,	839,	920,	919,	875,	902,	786
RA 04_BRAZLANDIA,	392,	402,	417,	415,	351,	338
